position,overall,name,nation,club,age
RM,63,Marcus Godinho,Canada,Korona Kielce,26
RM,66,Maren Haile-Selassie,Switzerland,Chicago Fire FC,24
RM,65,Mario Šitum,Croatia,Catanzaro,31
RM,64,Marius Hauptmann,Germany,VfB Lübeck,24
RM,64,Mariusz Fornalczyk,Poland,Pogoń Szczecin,20
RM,54,Mark Dignam,Republic of Ireland,UCD AFC,24
RM,68,Mark Sykes,Republic of Ireland,Bristol City,26
RM,68,Marlon Fossey,United States,Standard Liège,25
RM,72,Martin Boyle,Australia,Hibernian,30
RM,76,Martín Ojeda,Argentina,Orlando City,24
RM,69,Marvin,Spain,UD Las Palmas,23
RM,65,Marvin Loría,Costa Rica,Portland Timbers,26
RM,52,Marwan Al Sahafi,Saudi Arabia,Al Ittihad,19
RM,68,Maryan Shved,Ukraine,Shakhtar Donetsk,26
RM,72,Mateus,Brazil,Al Taawoun,29
RM,64,Mateusz Bochnak,Poland,Cracovia,25
RM,60,Mateusz Stępień,Poland,Stal Mielec,21
RM,67,Matheus Martins,Brazil,Watford,20
RM,60,Matías González,Argentina,Banfield,21
RM,71,Matías Soulé,Argentina,Frosinone,20
RM,64,Matías Verdún,Paraguay,Tacuary,25
RM,71,Matisse Samoise,Belgium,KAA Gent,21
RM,65,Mato Miloš,Croatia,Widzew Łódź,30
RM,64,Matty Kennedy,Northern Ireland,Kilmarnock,28
RM,64,Mauro Rodrigues,Guinea-Bissau,Yverdon Sport FC,22
RM,66,Maxime Barthelmé,France,En Avant Guingamp,35
RM,72,Mehdi Léris,Algeria,Stoke City,25
RM,66,Mehdi Merghem,France,En Avant Guingamp,26
RM,66,Merveille Biankadi,Germany,Arminia Bielefeld,28
RM,62,Michael Ameyaw,Poland,Piast Gliwice,23
RM,70,Michael Barrios,Colombia,LA Galaxy,32
RM,71,Michał Skóraś,Poland,Club Brugge,23
RM,59,Michał Stachera,Poland,Cracovia,22
RM,69,Michal Tomič,Slovakia,Slavia Praha,24
RM,70,Miguel Baeza,Spain,CD Mirandés,23
RM,66,Miguel Rodríguez,Spain,RC Celta,20
RM,64,Mika Baur,Germany,SC Freiburg II,19
RM,64,Mikael Norø Ingebrigtsen,Norway,Odds BK,27
RM,60,Milan Robberechts,Belgium,Fortuna Sittard,19
RM,71,Million Manhoef,Holland,Vitesse,21
RM,76,Milot Rashica,Kosovo,Beşiktaş,27
RM,76,Miroslav Stevanović,Bosnia and Herzegovina,Servette FC,33
RM,65,Mitch Pinnock,England,Northampton,28
RM,71,Mitchell van Bergen,Holland,FC Twente,24
RM,70,Modou Barrow,Gambia,Sivasspor,30
RM,68,Mohamed Amoura,Algeria,R. Union St.-G.,23
RM,64,Mohamed Farsi,Canada,Columbus Crew,23
RM,72,Mohamed Fouzair,Morocco,Al Raed,31
RM,51,Mohammed Al Abdullah,Saudi Arabia,Al Khaleej,21
RM,67,Mohammed Al Kuwaykibi,Saudi Arabia,Ettifaq FC,28
RM,70,Mollejo,Spain,Real Zaragoza,22
RM,60,Momo Cissé,Guinea,VfB Stuttgart,20
RM,66,Morgan Whittaker,England,Plymouth Argyle,22
RM,69,Moritz-Broni Kwarteng,Germany,VfL Bochum,25
RM,66,Morris Schröter,Germany,1860 München,28
RM,70,Moses Usor,Nigeria,LASK,21
RM,84,Moussa Diaby,France,Aston Villa,24
RM,68,Moussa Sylla,France,Pau FC,23
RM,74,Murilo,Brazil,Gil Vicente,28
RM,70,Musa Al Tamari,Jordan,Montpellier,26
RM,65,Musa Juwara,Gambia,Vejle Boldklub,21
RM,54,Musa Toure,Australia,Adelaide United,17
RM,67,Mustafa Eskihellaç,Turkey,Gaziantep,26
RM,54,Mustapha Isah,Nigeria,Randers FC,19
RM,74,Na Sang Ho,Korea Republic,FC Seoul,27
RM,68,Nacho Gil,Spain,New England,28
RM,61,Nahuel Rodríguez,Peru,UCV,21
RM,64,Naim García,Spain,CD Leganés,21
RM,71,Nathan Ngoumou,France,M'gladbach,23
RM,77,Nathan Redmond,England,Burnley,29
RM,68,Nathaniel Méndez-Laing,Guatemala,Derby County,31
RM,60,Nazar Voloshyn,Ukraine,Dynamo Kyiv,20
RM,62,Nestory Irankunda,Australia,Adelaide United,17
RM,63,Netinho,Brazil,IFK Värnamo,29
RM,69,Neyder Moreno,Colombia,Atl. Nacional,26
RM,66,Nicklas Shipnoski,Germany,Arminia Bielefeld,25
RM,73,Niclas Eliasson,Sweden,AEK Athens,27
RM,79,Nico Williams,Spain,Athletic Club,21
RM,76,Nicola Zalewski,Poland,Roma FC,21
RM,71,Nicolas Kühn,Germany,SK Rapid Wien,23
RM,61,Nicolás Palavecino,Argentina,Estudiantes,20
RM,78,Nicolas Pépé,Côte d'Ivoire,Trabzonspor,28
RM,80,Nicolò Zaniolo,Italy,Aston Villa,24
RM,66,Nikita Iosifov,Russia,CD Mirandés,22
RM,68,Niklas Sandberg,Norway,Sarpsborg 08,28
RM,67,Nikola Boranijašević,Serbia,FC Zürich,31
RM,64,Nikola Sekulov,Italy,Cremonese,21
RM,54,Ninthoi Meetei,India,Chennaiyin FC,22
RM,61,Nishan Velupillay,Australia,Melb. Victory,22
RM,61,Noa Savignac,France,Rodez AF,21
RM,58,Noah De Ridder,Belgium,KAA Gent,20
RM,61,Noah Fatar,France,Angers SCO,21
RM,70,Noah Joel Sarenren Bazee,Nigeria,Arminia Bielefeld,27
RM,61,Noel Buck,United States,New England,18
RM,76,Nordin Amrabat,Morocco,AEK Athens,36
RM,61,Odin Bailey,England,Stockport,23
RM,60,Oh In Pyo,Korea Republic,Suwon FC,26
RM,73,Oleksandr Zubkov,Ukraine,Shakhtar Donetsk,27
RM,66,Oleksiy Kaschuk,Ukraine,Shakhtar Donetsk,23
RM,60,Oliver Alfonsi,Sweden,Varbergs BoIS,20
RM,63,Oliver Strunz,Austria,SK Rapid Wien,23
RM,58,Ollie Tanner,England,Cardiff City,21
RM,69,Oluwatosin Kehinde,Nigeria,Ferencvárosi TC,25
RM,63,Omar Sijarić,Montenegro,FC Erzgebirge Aue,21
RM,73,Omer Atzili,Israel,Al Ain FC,30
RM,60,Onurhan Babuşcu,Turkey,Gaziantep,20
RM,63,Orrin McKinze Gaines,United States,Charlotte FC,25
RM,66,Oscar Johansson,Sweden,IFK Värnamo,28
RM,66,Oscar Uddenäs,Sweden,Excelsior,21
RM,66,Otar Kakabadze,Georgia,Cracovia,28
RM,82,Otávio,Portugal,Al Nassr,28
RM,64,Owen Dale,England,Blackpool,24
RM,68,Pablo Felipe,Brazil,FC Famalicão,19
RM,67,Pablo García,Uruguay,River Plate,24
RM,56,Pablo Luján,Bolivia,Blooming,20
RM,78,Pablo Sarabia,Spain,Wolves,31
RM,75,Pablo Solari,Argentina,River Plate,22
RM,57,Panashe Madanha,Australia,Adelaide United,19
RM,71,Paolo Fernandes,Spain,AEK Athens,25
RM,69,Paolo Ghiglione,Italy,Cremonese,26
RM,65,Paolo Hurtado,Peru,Cienciano,33
RM,79,Patrick Ciurria,Italy,Monza,28
RM,65,Patrick Göbel,Germany,B. Dortmund II,30
RM,71,Patrick Herrmann,Germany,M'gladbach,32
RM,71,Patrick Roberts,England,Sunderland,26
RM,72,Paul Arriola,United States,FC Dallas,28
RM,64,Paul McMullan,Scotland,Derry City,27
RM,71,Paulino,Spain,R. Oviedo,26
RM,64,Paweł Olkowski,Poland,Górnik Zabrze,33
RM,70,Paweł Wszołek,Poland,Legia Warszawa,31
RM,75,Pedro De la Vega,Argentina,Lanús,22
RM,73,Pejiño,Spain,UD Las Palmas,27
RM,63,Pelayo Morilla,Spain,R. Sporting,22
RM,68,Philipp Hercher,Germany,Kaiserslautern,27
RM,63,Piotr Samiec-Talar,Poland,Śląsk Wrocław,21
RM,66,Pirulo,Spain,ŁKS Łódź,31
RM,67,Pius Dorn,Germany,FC Luzern,27
RM,75,Portu,Spain,Girona FC,31
RM,54,Prasanth Karuthadathkuni,India,Punjab FC,26
RM,62,Promise Omochere,Republic of Ireland,Fleetwood Town,22
RM,74,Puertas,Spain,Granada CF,31
RM,64,Rafik Zekhnini,Norway,Sarpsborg 08,25
RM,57,Rahul KP,India,Kerala Blasters,23
RM,67,Ramazan Civelek,Turkey,Kayserispor,27
RM,63,Ramil Mustafaev,Russia,Legia Warszawa,19
RM,65,Rareș Pop,Romania,UTA Arad,18
RM,68,Rasmus Alm,Sweden,St. Louis CITY SC,28
RM,66,Raudy Guerrero,Venezuela,Puerto Cabello,29
RM,66,Rayco,Spain,SD Amorebieta,26
RM,68,Reinhold Ranftl,Austria,FK Austria Wien,31
RM,70,Reinier,Brazil,Frosinone,21
RM,72,Renato Ibarra,Ecuador,LDU Quito,32
RM,76,Renato Steffen,Switzerland,FC Lugano,31
RM,71,Renzo Tesuri,Argentina,Atlético Tucumán,27
RM,58,Rhys Hughes,Wales,Tranmere Rovers,22
RM,70,Riad Nouri,France,AC Ajaccio,38
RM,78,Riccardo Orsolini,Italy,Bologna,26
RM,66,Richard Figueroa,Venezuela,Puerto Cabello,27
RM,78,Rick Karsdorp,Holland,Roma FC,28
RM,63,Riku Danzaki,Japan,Western United,23
RM,78,Ritsu Doan,Japan,SC Freiburg,25
RM,86,Riyad Mahrez,Algeria,Al Ahli,32
RM,63,Robert Dadok,Poland,Górnik Zabrze,26
RM,72,Roberto López,Spain,CD Tenerife,23
RM,68,Roberto Massimo,Germany,VfB Stuttgart,22
RM,73,Robin Lod,Finland,Minnesota United,30
RM,64,Rodney Redes,Paraguay,Austin FC,23
RM,65,Rodrigo Amarilla,Paraguay,Guaraní,23
RM,67,Rodrigo Bogarín,Paraguay,Defensa,26
RM,76,Roland Sallai,Hungary,SC Freiburg,26
RM,77,Romain Faivre,France,FC Lorient,25
RM,55,Romario Jesuraj,India,Chennaiyin FC,27
RM,75,Rony Lopes,Portugal,SC Braga,27
RM,70,Rubén Sánchez,Spain,CD Mirandés,22
RM,67,Rui Modesto,Portugal,AIK,24
RM,74,Ryan Christie,Scotland,AFC Bournemouth,28
RM,56,Ryan Graydon,Republic of Ireland,Fleetwood Town,24
RM,70,Ryan Hedges,Wales,Blackburn Rovers,28
RM,50,Salem Al Toiawy,Saudi Arabia,Al Tai,22
RM,73,Salvi Sánchez,Spain,RCD Espanyol,32
RM,75,Samu Castillejo,Spain,Sassuolo,28
RM,62,Santiago Luján,Argentina,Huracán,21
RM,71,Santiago Moreno,Colombia,Portland Timbers,23
RM,73,Santiago Simón,Argentina,River Plate,21
RM,54,Saurav Mandal,India,Kerala Blasters,22
RM,70,Sávio,Brazil,Girona FC,19
RM,71,Sebastian Jørgensen,Denmark,Malmö FF,23
RM,68,Sebastian Stolze,Germany,SV Sandhausen,28
RM,56,Seiminlen Doungel,India,Jamshedpur FC,29
RM,63,Sekou Sidibe,Belgium,FCU 1948,22
RM,84,Serge Gnabry,Germany,FC Bayern München,28
RM,58,Serge Ngoma,United States,Red Bulls,18
RM,65,Sheyi Ojo,England,KV Kortrijk,26
RM,61,Shilow Tracey,England,Crewe Alexandra,25
RM,74,Silas,Congo DR,VfB Stuttgart,25
RM,62,Silva Kani,Israel,FK Austria Wien,20
RM,68,Simon Olsson,Sweden,sc Heerenveen,26
RM,63,Simon Straudi,Italy,Austria Klagenfurt,24
RM,64,Sinan Karweina,Germany,Austria Klagenfurt,24
RM,71,Sofiane Feghouli,Algeria,Karagümrük SK,33
RM,65,Sofyan Chader,France,FC Luzern,23
RM,79,Solly March,England,Brighton,29
RM,70,Sorba Thomas,Wales,Huddersfield,24
RM,63,Søren Tengstedt,Denmark,Silkeborg IF,23
RM,58,Stefan Colakovski,North Macedonia,Perth Glory,23
RM,56,Steffen Meuer,Germany,FC Erzgebirge Aue,23
RM,68,Stelios Kitsiou,Greece,MKE Ankaragücü,30
RM,72,Stéphane Diarra,Côte d'Ivoire,AS Saint-Étienne,24
RM,58,Stephen Duke-McKenna,Guyana,QPR,23
RM,57,Steven Warnock,Scotland,Kilmarnock,20
RM,62,Suheyel Najar,Germany,Viktoria Köln,27
RM,64,Sultan Mandash,Saudi Arabia,Al Fayha,28
RM,49,Sweden Fernandes,India,Punjab FC,23
RM,66,Sylvester Jasper,Bulgaria,Portimonense SC,23
RM,71,Tadeo Allende,Argentina,Godoy Cruz,24
RM,71,Tahith Chong,Holland,Luton Town,23
RM,72,Tajon Buchanan,Canada,Club Brugge,24
RM,74,Takuma Asano,Japan,VfL Bochum,28
RM,53,Tao Qianglong,China PR,Wuhan 3 Towns,21
RM,65,Tayeb Meziani,Algeria,Abha Club,27
RM,65,Teodoro Arce,Paraguay,Gral. Caballero,23
RM,76,Tetê,Brazil,Galatasaray,23
RM,72,Tete Morente,Spain,Elche CF,26
RM,67,Teto,Spain,CD Tenerife,22
RM,60,Thaddäus-Monju Momuluh,Germany,Hannover 96,21
RM,65,Theo Archibald,Scotland,Leyton Orient,25
RM,66,Theo Corbeanu,Canada,Grasshopper Club,21
RM,67,Thijmen Goppel,Holland,Wehen Wiesbaden,26
RM,61,Thomas Boakye,Ghana,Halmstads BK,30
RM,71,Thomas Goiginger,Austria,LASK,30
RM,66,Thomas Pledl,Germany,MSV Duisburg,29
RM,69,Tiago Casasola,Argentina,Ternana,28
RM,74,Tiago Gouveia,Portugal,SL Benfica,22
RM,66,Tijjani Noslin,Holland,Fortuna Sittard,24
RM,59,Tim Köther,Germany,MSV Duisburg,22
RM,66,Tim Lemperle,Germany,Fürth,21
RM,63,Tim Maciejewski,Germany,SV Sandhausen,22
RM,71,Tim Skarke,Germany,SV Darmstadt 98,27
RM,70,Timmy Chandler,United States,Frankfurt,33
RM,74,Timothy Weah,United States,Juventus,23
RM,48,Tobi Jinad,Republic of Ireland,Bohemian FC,20
RM,65,Tobias Klysner,Denmark,Aalesunds FK,22
RM,67,Tom Dele-Bashiru,Nigeria,Watford,24
RM,72,Tom Ince,England,Watford,31
RM,65,Tomáš Ostrák,Czech Republic,St. Louis CITY SC,23
RM,70,Tomás Pozzo,Argentina,Independiente,23
RM,63,Tomasz Kupisz,Poland,Jagiellonia,33
RM,63,Tony Springett,Republic of Ireland,Norwich,21
RM,63,Tornike Gaprindashvili,Georgia,Zagłębie Lubin,26
RM,62,Trent Buhagiar,Australia,Newcastle Jets,25
RM,70,Tyrhys Dolan,England,Blackburn Rovers,21
RM,58,Udanta Singh,India,FC Goa,27
RM,66,Ukra,Portugal,Rio Ave FC,35
RM,72,Ulises Sanchez,Argentina,Belgrano,25
RM,73,Um Won Sang,Korea Republic,Ulsan Hyundai,24
RM,68,Valera,Spain,Real Zaragoza,21
RM,73,Valery,Spain,Girona FC,23
RM,65,Varol Tasar,Germany,Yverdon Sport FC,27
RM,69,Víctor García,Spain,AD Alcorcón,26
RM,61,Victor Karlsson,Sweden,Varbergs BoIS,22
RM,82,Viktor Tsygankov,Ukraine,Girona FC,25
RM,59,Villiam Granath,Sweden,Halmstads BK,25
RM,55,Vincy Barretto,India,Chennaiyin FC,23
RM,70,Viti Rozada,Spain,R. Oviedo,26
RM,73,Vito van Crooij,Holland,Al Wehda,27
RM,65,Vittorio Parigini,Italy,Feralpisalò,27
RM,58,VP Suhair,India,East Bengal,31
RM,66,Wálter Chalá,Ecuador,LDU Quito,31
RM,69,Walter Mazzantti,Argentina,Huracán,27
RM,61,Wang Song,China PR,Nantong Zhiyun FC,39
RM,69,Wes Burns,Wales,Ipswich,28
RM,63,Wikelman Carmona,Venezuela,Red Bulls,20
RM,64,Wiktor Długosz,Poland,Ruch Chorzów,23
RM,65,William Baeten,Belgium,FCU 1948,26
RM,67,Wilmar González,Colombia,Puerto Cabello,29
RM,58,Wojciech Łaski,Poland,Jagiellonia,23
RM,57,Xander Martlé,Belgium,Cercle Brugge,20
RM,69,Xie Pengfei,China PR,Wuhan 3 Towns,30
RM,57,Yacine El Amri,Morocco,Valenciennes FC,19
RM,58,Yahya Al Najai,Saudi Arabia,Al Wehda,24
RM,58,Yahya Sunbul,Saudi Arabia,Al Raed,25
RM,64,Yair Mena,Colombia,Atl. Nacional,23
RM,72,Yan Couto,Brazil,Girona FC,21
RM,56,Yang Chaosheng,China PR,Meizhou Hakka,30
RM,68,Yang Liyu,China PR,Beijing Guoan,26
RM,57,Yao Xuchen,China PR,Cangzhou FC,24
RM,66,Yin Hongbo,China PR,Meizhou Hakka,33
RM,73,Yira Sor,Nigeria,KRC Genk,23
RM,68,Ylldren Ibrahimaj,Kosovo,Lillestrøm SK,27
RM,72,Yoann Court,France,SM Caen,33
RM,72,Yunus Akgün,Turkey,Leicester City,23
RM,69,Yusuf Demir,Austria,FC Basel 1893,20
RM,68,Yusuf Lawal,Nigeria,Arouca,25
RM,65,Yutaro Oda,Japan,Hearts,22
RM,65,Zachary Brault-Guillard,Canada,CF Montréal,24
RM,61,Zachary Elbouzedi,Republic of Ireland,AIK,25
RM,67,Žan Rogelj,Slovenia,Sp. Charleroi,23
RM,48,Zhang Yue,China PR,Cangzhou FC,23
RM,62,Zheng Dalun,China PR,Shenzhen FC,29
RW,53,Abdul Rabeeh,India,Hyderabad FC,22
RW,67,Abdulaziz Al Bishi,Saudi Arabia,Damac FC,29
RW,61,Abdulelah Al Shammari,Saudi Arabia,Abha Club,24
RW,50,Abdullah Al Enazi,Saudi Arabia,Al Fateh,20
RW,56,Abdullah Matuq,Saudi Arabia,Al Shabab,20
RW,56,Adam Kramarz,Poland,Puszcza,21
RW,75,Adama Traoré,Mali,Ferencvárosi TC,28
RW,77,Adnan Januzaj,Belgium,Sevilla FC,28
RW,66,Adrian Mazilu,Romania,Farul Constanța,18
RW,65,Ahmed Al Zain,Saudi Arabia,Damac FC,32
RW,72,Alan Medina,Uruguay,Liverpool,25
RW,58,Alessandro Riep,Chile,Audax Italiano,20
RW,66,Alexander Bernhardsson,Sweden,IF Elfsborg,25
RW,60,Alexander Lyng,Denmark,Servette FC,18
RW,65,Alexander Oroz,Chile,Colo-Colo,20
RW,53,Alexandru Jipa,Romania,FC Hermannstadt,22
RW,61,Alexandru Musi,Romania,FC Petrolul,19
RW,58,Alexandru Pop,Romania,SC Oțelul Galați,23
RW,78,Alexis Saelemaekers,Belgium,Bologna,24
RW,52,Ali Al Jassim,Saudi Arabia,Al Fateh,22
RW,68,Aliou Baldé,Senegal,OGC Nice,20
RW,73,Alireza Jahanbakhsh,Iran,Feyenoord,30
RW,74,Amad Diallo,Côte d'Ivoire,Manchester Utd,21
RW,71,Amor Layouni,Tunisia,BK Häcken,31
RW,74,Anders Dreyer,Denmark,RSC Anderlecht,25
RW,61,André Alsanati,Iraq,IK Sirius,23
RW,66,André Green,England,Rotherham Utd,25
RW,68,Andrei Cordea,Romania,Al Tai,24
RW,76,Andrija Živković,Serbia,PAOK FC,27
RW,73,Anthony Elanga,Sweden,Nott'm Forest,21
RW,64,Antoine Joujou,France,Havre AC,20
RW,70,Antoine Leautey,France,Amiens SC,27
RW,62,Antonio Bordușanu,Romania,FC Dinamo 1948,19
RW,57,Antonio Dumitru,Romania,Politehnica Iași,18
RW,81,Antony,Brazil,Manchester Utd,23
RW,69,Babajide David Akintola,Nigeria,Adana Demirspor,27
RW,69,Badredine Bouanani,Algeria,OGC Nice,18
RW,71,Bakery Jatta,Gambia,Hamburger SV,25
RW,62,Ben Doak,Scotland,Liverpool,17
RW,60,Ben Knight,England,Manchester City,21
RW,68,Benjamin Goller,Germany,1. FC Nürnberg,24
RW,67,Benny Sousa,Portugal,GD Chaves,23
RW,69,Boadu Maxwell Acosty,Ghana,Suwon Samsung,32
RW,56,Bogdan Rotar,Romania,FC Hermannstadt,21
RW,76,Bradley Barcola,France,Paris SG,21
RW,63,Bradly van Hoeven,Holland,Almere City FC,23
RW,76,Brennan Johnson,Wales,Spurs,22
RW,68,Bruno Lourenço,Portugal,Boavista FC,25
RW,68,Bruno Sávio,Brazil,Bolívar,29
RW,78,Bryan Mbeumo,Cameroon,Brentford,24
RW,86,Bukayo Saka,England,Arsenal,22
RW,68,Callum Lang,England,Wigan Athletic,25
RW,61,Callum McManaman,England,Wigan Athletic,32
RW,70,Carlo Holse,Denmark,Samsunspor,24
RW,76,Carlos Júnior,Brazil,Al Shabab,28
RW,80,Carlos Vela,Mexico,LAFC,34
RW,62,Catriel Cabellos,Peru,Racing Club,19
RW,60,Charly Nouck Horneman,Denmark,Odense BK,19
RW,66,Christian Conteh,Germany,VfL Osnabrück,24
RW,54,Christian Torres,Mexico,LAFC,19
RW,61,Christoph Urdl,Austria,TSV Hartberg,24
RW,62,Conor McMenamin,Northern Ireland,St. Mirren,28
RW,65,Conrad Wallem,Norway,Slavia Praha,23
RW,54,Cosmin Bucuroiu,Romania,FC Hermannstadt,20
RW,64,Cristi Bărbuț,Romania,FC Hermannstadt,28
RW,70,Cristian Bordacahar,Argentina,FBC Melgar,31
RW,67,Daan Rots,Holland,FC Twente,22
RW,74,Daniel Mancini,Argentina,Panathinaikos,26
RW,65,Danny Mândroiu,Republic of Ireland,Lincoln City,24
RW,67,Darío Sarmiento,Argentina,Manchester City,20
RW,72,Dario Špikić,Croatia,Dinamo Zagreb,24
RW,61,Darragh Burns,Republic of Ireland,MK Dons,21
RW,65,Darwin Gómez,Venezuela,Metropolitanos,31
RW,64,David Ball,England,Well. Phoenix,33
RW,66,David Miculescu,Romania,FCSB,22
RW,65,David Sambissa,Gabon,İstanbulspor,27
RW,81,Dejan Kulusevski,Sweden,Spurs,23
RW,62,Dennis Chessa,Germany,SSV Ulm 1846,30
RW,61,Dennis Collander,Sweden,Hammarby IF,21
RW,64,Diallang Jaiyesimi,England,St. Johnstone,25
RW,73,Diego Zabala,Uruguay,Nacional,32
RW,69,Dieumerci Ndongala,Congo DR,Apoel FC,32
RW,69,Dilane Bakwa,France,Strasbourg,21
RW,65,Dimitrios Theodorou,Cyprus,Apoel FC,26
RW,73,Diogo Gonçalves,Portugal,F.C. København,26
RW,85,Domenico Berardi,Italy,Sassuolo,29
RW,63,Dylan Bahamboula,Congo,Livingston,28
RW,67,Dylan Saint-Louis,Congo,FC Vizela,28
RW,68,Edanyilber Navas,Venezuela,Monagas SC,23
RW,67,Edward Chilufya,Zambia,BK Häcken,24
RW,64,Eirik Ulland Andersen,Norway,Strømsgodset IF,31
RW,72,El Fardou Ben,Comoros,Apoel FC,34
RW,69,Elayis Tavşan,Holland,N.E.C. Nijmegen,22
RW,65,Emil Frederiksen,Denmark,Rosenborg BK,23
RW,67,Emmanuel Sabbi,United States,Havre AC,25
RW,74,Emre Mor,Turkey,Fenerbahçe,26
RW,80,Erik Lamela,Argentina,Sevilla FC,31
RW,72,Ernest Nuamah,Ghana,OL,19
RW,68,Eryc Castillo,Ecuador,Aucas,28
RW,69,Ezequiel Cerutti,Argentina,San Lorenzo,31
RW,67,Fabio Kaufmann,Germany,Braunschweig,31
RW,71,Facundo Pellistri,Uruguay,Manchester Utd,21
RW,53,Faisal Ali,India,Bengaluru FC,23
RW,78,Federico Bernardeschi,Italy,Toronto FC,29
RW,81,Felipe Anderson,Brazil,Latium,30
RW,60,Florian Bianchini,France,SC Bastia,22
RW,74,Francisco Conceição,Portugal,FC Porto,20
RW,71,Freddy Salazar,Colombia,Águilas Doradas,28
RW,65,Frederik Børsting,Denmark,SK Brann,28
RW,61,Fredrik Hammar,Sweden,Hammarby IF,22
RW,73,Gabriel Hauche,Argentina,Racing Club,36
RW,65,Gabriel Iancu,Romania,FC Hermannstadt,29
RW,77,Gabriel Strefezza,Brazil,Lecce,26
RW,62,Garang Kuol,Australia,FC Volendam,19
RW,68,Geny Catamo,Mozambique,Sporting CP,22
RW,68,Geoffry Hairemans,Belgium,KV Mechelen,31
RW,56,George Dragomir,Romania,FC Botoșani,20
RW,55,Gideon Tetteh,Republic of Ireland,Shamrock Rovers,18
RW,66,Gilbert Koomson,Ghana,Sandefjord,29
RW,67,Gino Infantino,Argentina,Fiorentina,20
RW,63,Gonzalo Álvarez,Chile,Audax Italiano,26
RW,64,Gonzalo Ríos,Argentina,Audax Italiano,24
RW,74,Gustav Isaksen,Denmark,Latium,22
RW,70,Gustav Ludwigson,Sweden,Ulsan Hyundai,29
RW,59,Hakeeb Adelakun,England,Lincoln City,27
RW,80,Hakim Ziyech,Morocco,Galatasaray,30
RW,73,Håkon Evjen,Norway,Brøndby IF,23
RW,63,Halldor Stenevik,Norway,Strømsgodset IF,23
RW,65,Haris Radetinac,Serbia,Djurgårdens IF,37
RW,61,Harry Anderson,England,Stevenage,26
RW,55,He Zhenyu,China PR,Changchun Yatai,22
RW,67,Heriberto Tavares,Portugal,Estoril Praia,26
RW,57,Herman Sjögrell,Sweden,IK Sirius,22
RW,69,Hildeberto Pereira,Cape Verde Islands,Henan SSLM FC,27
RW,81,Hirving Lozano,Mexico,PSV,28
RW,62,Hong Si Hoo,Korea Republic,Incheon United,22
RW,68,Ibrahim Sadiq,Ghana,AZ,23
RW,67,Ibrahim Said,Nigeria,Viborg FF,21
RW,63,Ibrahima Baldé,France,RC Lens,20
RW,70,Ilias,Spain,Villarreal CF,19
RW,54,Ilias El Hari,Belgium,KVC Westerlo,18
RW,55,Ionuț Cojocaru,Romania,Farul Constanța,20
RW,75,İrfan Can Kahveci,Turkey,Fenerbahçe,28
RW,70,Ismael Saibari,Morocco,PSV,22
RW,69,Issa Kallon,Sierra Leone,Shanghai Port,27
RW,56,Issa Kaloga,Switzerland,Servette FC,19
RW,55,Iulian Codrin Cărăușu,Romania,FC Botoșani,18
RW,68,Iván Leguizamón,Paraguay,San Lorenzo,21
RW,69,Jack Byrne,Republic of Ireland,Shamrock Rovers,27
RW,70,Jackson Muleka,Congo DR,Beşiktaş,24
RW,60,Jacob Eng,Norway,Vålerenga Fotball,19
RW,76,Jacob Murphy,England,Newcastle Utd,28
RW,54,Jacob Trenskow,Denmark,Kalmar FF,22
RW,67,Jake Mulraney,Republic of Ireland,St. Pats,27
RW,63,Jakob Lemmer,Germany,Dynamo Dresden,23
RW,73,Jakub Pešek,Czech Republic,Sparta Praha,30
RW,72,James Forrest,Scotland,Celtic,32
RW,69,Jason Ceka,Germany,1. FC Magdeburg,23
RW,67,Jason Lokilo,Congo DR,Hull City,25
RW,58,Jason McClelland,Republic of Ireland,St. Pats,26
RW,73,Javairô Dilrosun,Holland,Feyenoord,25
RW,58,Jaze Kabia,Republic of Ireland,Cork City,23
RW,73,Jens Odgaard,Denmark,AZ,24
RW,49,Jeon Yong Jun,Korea Republic,Daegu FC,20
RW,60,Jeppe Kjær,Denmark,Sandefjord,19
RW,58,Jerry Mawihmingthanga,India,Odisha FC,26
RW,71,Jesurun Rak-Sakyi,England,Crystal Palace,21
RW,68,Jhamir D'Arrigo,Peru,FBC Melgar,23
RW,69,Joao Grimaldo,Peru,Sporting Cristal,20
RW,71,João Teixeira,Portugal,Shanghai Shenhua,30
RW,64,Jodi Jones,Malta,Notts County,25
RW,70,Joe Lolley,England,Sydney FC,31
RW,70,Joel Asoro,Sweden,FC Metz,24
RW,63,Joel Nilsson,Sweden,Hammarby IF,29
RW,75,Johan Bakayoko,Belgium,PSV,20
RW,72,Johnny Russell,Scotland,Sporting KC,33
RW,61,Jon Taylor,England,Doncaster,31
RW,77,Jonathan Ikoné,France,Fiorentina,25
RW,67,Jonathan Ring,Sweden,Jeju United,31
RW,64,Jonny Smith,England,Wigan Athletic,26
RW,74,Jordan Ayew,Ghana,Crystal Palace,32
RW,74,Jordan Larsson,Sweden,F.C. København,26
RW,64,Jorge Rengifo,Colombia,Águilas Doradas,26
RW,67,Joseph Hungbo,England,1. FC Nürnberg,23
RW,64,Josh Murphy,England,Oxford United,28
RW,67,Josué Casimir,France,Havre AC,22
RW,70,Jota Silva,Portugal,Vitória SC,24
RW,60,Juan David Arizala,Colombia,Indep. Medellín,17
RW,66,Juan Mancín,Venezuela,Metropolitanos,23
